Name,"NCBI GI","Uniprot Accession"
501078,,
501079,24379119,
501080,56698633,
501081,33599493,
501082,34496619,
501083,29346380,
501084,83855179,
501085,55379706,
501086,34496360,
501088,29347952,
501089,56459530,
501090,83943387,
501091,33597311,
501092,24373147,
501093,41407831,
501094,116493349,
501095,,
501096,,
501097,15641650,
501099,,
501100,,
501101,116493311,
501102,11498533,
501103,55379340,
501104,60683142,
501105,14591630,
501106,34496427,
501107,29831570,
501108,83944144,
501109,34496541,
501110,90111459,
501111,15805853,
501112,83943472,
501113,29140822,
501114,56459828,
501115,56459158,
501116,33597481,
501117,60682765,
501118,15805324,
501119,56698580,
501120,116492880,
501121,55376882,
501122,16081982,
501123,33595364,
501124,13541913,
501125,29349723,
501126,,
501127,17545804,
501128,17545326,
501129,,
501130,17545703,
501131,37523915,
501132,33592156,
501133,,
501134,30020321,
501135,55378468,
501136,60680787,
501137,29827924,
501140,24376169,
501141,29346107,
501142,58039816,
501143,15641359,
501144,29349592,
501145,30023195,
501146,34499828,
501147,33595940,
501148,26986839,
501150,89109113,
501152,32455683,
501153,24373239,
501155,26988453,
501156,37523019,
501157,14591678,
501158,83942138,
501160,39937729,
501161,55379551,
501162,56695689,
501163,16801989,
501165,14591501,
501166,302309157,
501167,26991823,
501168,21227737,
501169,116492729,
501170,33594523,
501171,29830820,
501172,16129278,
501173,30022124,
501175,161486813,
501176,56460976,
501177,24371612,
501178,56460455,
501179,26987001,
501180,56697634,
501182,58040681,
501183,83953918,
501184,29833981,
501185,,
501186,29143965,
501188,16131583,
501189,58038874,
501190,28378579,
501191,29141667,
501192,,
501193,15806361,
501195,90111585,
501196,16129681,
501198,56460681,
501199,56709121,
501200,26988495,
501201,15612993,
501202,56695431,
501205,17547313,
501206,26988636,
501207,15613036,
501208,55378450,
501210,16132192,
501211,30022854,
501214,15807141,
501215,15616426,
501216,29144832,
501217,26988520,
501218,116492283,
501219,28379344,
501220,56460470,
501221,83942974,
501222,,
501224,33596475,
501225,15669628,
501226,17544805,
501227,56697589,
501228,17549529,
501229,29347681,
501230,14590620,
501231,37521461,
501232,17546740,
501234,30023438,
501235,30020852,
501236,29347590,
501237,26991907,
501238,21229431,
501240,,
501242,19552677,
501243,,
501244,83720778,
501245,16799714,
501246,30022286,
501247,21227209,
501248,55377155,
501250,30021442,
501252,56461652,
501253,29144278,
501254,39936941,
501255,29144417,
501256,15806629,
501257,16131881,
501260,29143673,
501261,15807594,
501262,16131664,
501263,126698571,
501264,28378687,
501265,30020308,
501267,15897629,
501269,29143911,
501270,16128997,
501271,14590787,
501272,30018562,
501273,39937397,
501274,15601648,
501275,39937580,
501278,29833210,
501279,16131263,
501280,29144292,
501281,56697324,
501282,30022999,
501283,30020769,
501285,28379128,
501286,16801375,
501287,30022063,
501288,30020197,
501289,15805755,
501290,,
501291,30022150,
501292,110801334,
501293,55380338,
501295,46579298,
501296,110800838,
501297,28377304,
501299,28379365,
501300,29827278,
501301,15806347,
501302,21228451,
501303,55377369,
501304,29832922,
501305,39935251,
501306,28378530,
501307,11497986,
501308,50365495,
501309,15615255,
501310,29143661,
501311,16129849,
501312,49176424,
501313,116492148,
501314,15614718,
501316,221308920,
501317,29141430,
501318,30022139,
501319,30019320,
501320,29142819,
501321,28378407,
501324,16799108,
501326,116493402,
501328,24379541,
501329,16131565,
501330,34498434,
501332,29831404,
501333,29143982,
501334,15613637,
501335,90111176,
501336,16128790,
501337,29141379,
501339,29142450,
501340,16129901,
501341,16128734,
501342,91790400,
501343,16079929,
501344,29142791,
501346,39936701,
501347,29142518,
501348,26987157,
501349,90111136,
501350,50365320,
501352,159185394,
501354,30023426,
501355,116492115,
501356,116492421,
501358,46580894,
501359,110798699,
501360,24378992,
501361,26988932,
501362,30022589,
501363,148547419,
501364,70607463,
501365,15615534,
501366,33596459,
501367,109897125,
501368,15899619,
501370,29827946,
501372,15610646,
501373,19554079,
501377,39936803,
501378,50365330,
501379,50364985,
501380,29828745,
501381,55379709,
501382,26988431,
501384,86357462,
501385,50365298,
501386,29827374,
501387,70606778,
501388,30020745,
501389,50365430,
501390,29833828,
501391,15805275,
501392,26248163,
501393,34557991,
501394,16080638,
501395,49475359,
501396,33596458,
501397,29144385,
501398,21325204,
501399,71735245,
501400,46579760,
501401,39934591,
501402,52081669,
501403,39935895,
501404,17546371,
501406,87200881,
501407,30018483,
501408,30019041,
501409,55378812,
501411,58040684,
501413,39936804,
501414,11499146,
501415,163842086,
501417,28379633,
501418,16800468,
501419,29141167,
501421,91787894,
501422,28378303,
